Purple Book Monthly Historical Data Changes Report - November 2025,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Newly Approved Products (N)  / Products Added in Current Release (R) / Updated Products (U),,,,,,,,,,,,,,,,,,,,,,,,
,"Zenpep, LLC",22210,Zenpep,pancrelipase,351(a),"60,000USP UNITS; 189,600USP UNITS; 252,600USP UNITS","Capsule, Delayed Release",Oral,,Rx,Licensed,27-Oct-23,N/A,N/A,27,Supplement,2198,8,CDER,,,,,
,Pfizer Inc.,22458,Elelyso,taliglucerase alfa,351(a),200UNITS,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,1-May-12,N/A,N/A,,Original,2001,1,CDER,,,,,
,Mannkind Corporation,22472,Afrezza,insulin human,351(a),4UNITS/INH,Powder,Inhalation,Single-Dose Cartridge,Rx,Licensed,27-Jun-14,N/A,N/A,,Original,2190,1,CDER,,,,,
,Mannkind Corporation,22472,Afrezza,insulin human,351(a),8UNITS/INH,Powder,Inhalation,Single-Dose Cartridge,Rx,Licensed,27-Jun-14,N/A,N/A,,Original,2190,2,CDER,,,,,
,Mannkind Corporation,22472,Afrezza,insulin human,351(a),12UNITS/INH,Powder,Inhalation,Single-Dose Cartridge,Rx,Licensed,17-Apr-15,N/A,N/A,3,Supplement,2190,3,CDER,,,,,
,Theratechnologies Inc.,22505,Egrifta,tesamorelin,351(a),1MG ,For Injection,Subcutaneous,Single-Dose Vial,Disc,Licensed,10-Nov-10,N/A,N/A,,Original,2091,1,CDER,,,,,
,Theratechnologies Inc.,22505,Egrifta SV,tesamorelin,351(a),2MG ,For Injection,Subcutaneous,Single-Dose Vial,Rx,Licensed,29-Nov-11,N/A,N/A,1,Supplement,2091,2,CDER,,,,,
,VIVUS LLC,22523,Pancreaze,pancrelipase,351(a),"4,200USP UNITS; 14,200USP UNITS; 24,600USP UNITS","Capsule, Delayed Release",Oral,,Rx,Licensed,12-Apr-10,N/A,N/A,,Original,2197,1,CDER,,,,,
,VIVUS LLC,22523,Pancreaze,pancrelipase,351(a),"10,500USP UNITS; 35,500USP UNITS; 61,500USP UNITS","Capsule, Delayed Release",Oral,,Rx,Licensed,12-Apr-10,N/A,N/A,,Original,2197,2,CDER,,,,,
,VIVUS LLC,22523,Pancreaze,pancrelipase,351(a),"16,800USP UNITS; 56,800USP UNITS; 98,400USP UNITS","Capsule, Delayed Release",Oral,,Rx,Licensed,12-Apr-10,N/A,N/A,,Original,2197,3,CDER,,,,,
,VIVUS LLC,22523,Pancreaze,pancrelipase,351(a),"21,000USP UNITS; 54,700USP UNITS; 83,900USP UNITS","Capsule, Delayed Release",Oral,,Rx,Licensed,12-Apr-10,N/A,N/A,,Original,2197,4,CDER,,,,,
,VIVUS LLC,22523,Pancreaze,pancrelipase,351(a),"2,600USP UNITS; 8,800USP UNITS; 15,200USP UNITS","Capsule, Delayed Release",Oral,,Rx,Licensed,7-Mar-14,N/A,N/A,4,Supplement,2197,5,CDER,,,,,
,VIVUS LLC,22523,Pancreaze,pancrelipase,351(a),"37,000USP UNITS; 97,300USP UNITS; 149,900USP UNITS","Capsule, Delayed Release",Oral,,Rx,Licensed,26-Apr-21,N/A,N/A,16,Supplement,2197,6,CDER,,,,,
,"Viokace, LLC",22542,Viokace,pancrelipase,351(a),"10,440USP UNITS; 39,150USP UNITS; 39,150USP UNITS",Tablet,Oral,,Rx,Licensed,1-Mar-12,N/A,N/A,,Original,2196,1,CDER,,,,,
,"Viokace, LLC",22542,Viokace,pancrelipase,351(a),"20,880USP UNITS; 78,300USP UNITS; 78,300USP UNITS",Tablet,Oral,,Rx,Licensed,1-Mar-12,N/A,N/A,,Original,2196,2,CDER,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",22575,VPRIV,velaglucerase alfa,351(a),400UNITS,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,26-Feb-10,N/A,N/A,,Original,1898,1,CDER,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",22575,VPRIV,velaglucerase alfa,351(a),200UNITS,For Injection,Intravenous,Single-Dose Vial,Disc,Licensed,26-Feb-10,N/A,N/A,,Original,1898,2,CDER,,,,,
,"AllerQuest, LLC",50114,Pre-Pen,benzylpenicilloyl polylysine,351(a),0.25ML,Injection ,Intradermal,Ampule,Rx,Licensed,25-Jul-74,N/A,N/A,,Original,2265,1,CDER,,,,,
,"Parke-Davis, a Division of Pfizer Inc.",50294,Elase-chloromycetin,"fibrinolysin and desoxyribonuclease combined [bovine], with chloramphenicol",351(a),10MG/GM; 666UNITS/GM; 1UNIT/GM,Ointment,Topical,Tube,Disc,Voluntarily Revoked,1-Apr-64,N/A,N/A,,Original,2205,1,CDER,,,,,
,Merck Sharp & Dohme LLC,101062,,Antivenin (Latrodectus mactans),351(a),NLT6000U,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,13-Feb-36, ,N/A,0,Original,2,1,CBER,,,,,
,Merck Sharp & Dohme LLC,101062,,Antivenin (Latrodectus mactans),351(a),NLT6000U,For Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,13-Feb-36, ,N/A,0,Original,2,2,CBER,,,,,
,"Recordati Rare Diseases, Inc.",101063,Elspar,asparaginase,351(a),"10,000INTERNATIONAL UNITS",For Injection,"Intravenous, Intramuscular",Single-Dose Vial,Disc,Licensed,10-Jan-78,N/A,N/A,,Original,1899,1,CDER,,,,,
,Merck Sharp & Dohme LLC,101066,"Recombivax, Recombivax Hb",Hepatitis B Vaccine (Recombinant),351(a),5UG/ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,23-Jul-86, ,N/A,0,Original,2,1,CBER,,,,,
,Merck Sharp & Dohme LLC,101066,"Recombivax, Recombivax Hb",Hepatitis B Vaccine (Recombinant),351(a),40UG/ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,23-Jul-86, ,N/A,0,Original,2,2,CBER,,,,,
,Merck Sharp & Dohme LLC,101066,"Recombivax, Recombivax Hb",Hepatitis B Vaccine (Recombinant),351(a),10UG/ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,23-Jul-86, ,N/A,0,Original,2,3,CBER,,,,,
,Merck Sharp & Dohme LLC,101068,ATTENUVAX,Measles Virus Vaccine Live,351(a),NLT1000U/.5ML,For Injection,Subcutaneous,Vial,Disc,Voluntarily Revoked,21-Mar-63, , ,0,Original,2,1,CBER,,,,,
,Merck Sharp & Dohme LLC,101069,M-M-R Ii,"Measles, Mumps and Rubella Virus Vaccine Live",351(a),0.5ML,For Injection,Subcutaneous,Single-Dose Vial,Rx,Licensed,22-Apr-71, ,N/A,0,Original,2,1,CBER,,,,,
,Merck Sharp & Dohme LLC,101069,M-M-R Ii,"Measles, Mumps and Rubella Virus Vaccine Live",351(a),0.5ML,For Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,27-Feb-23, ,N/A,5846,Supplement,2,2,CBER,,,,,
,Merck Sharp & Dohme LLC,101072,MumpsVax,Mumps Virus Vaccine Live,351(a),0.5ML,For Injection,Subcutaneous,Vial,Disc,Voluntarily Revoked,28-Dec-67, , ,0,Original,2,1,CBER,,,,,
,Merck Sharp & Dohme LLC,101075,MERUVAX II,Rubella Virus Vaccine Live,351(a),NLT1000U/.5ML,For Injection,Subcutaneous,Vial,Disc,Voluntarily Revoked,9-Jun-69, , ,0,Original,2,1,CBER,,,,,
,Merck Sharp & Dohme LLC,101094,Pneumovax 23,"Pneumococcal Vaccine, Polyvalent",351(a),25UG/.5ML,Injection,Intramuscular,Vial,Rx,Licensed,21-Nov-77, ,N/A,0,Original,2,1,CBER,,,,,
,Merck Sharp & Dohme LLC,101094,Pneumovax 23,"Pneumococcal Vaccine, Polyvalent",351(a),25UG/.5ML,Injection,Subcutaneous,Vial,Rx,Licensed,21-Nov-77, ,N/A,0,Original,2,2,CBER,,,,,
,Wyeth Pharmaceuticals LLC,101098,,Antivenin (Crotalidae) Polyvalent,351(a),10ML,For Injection,Intravenous,Vial,Disc,Voluntarily Revoked,8-Feb-54, ,N/A,0,Original,3,1,CBER,,,,,
,Wyeth Pharmaceuticals LLC,101099,,Antivenin (Micrurus fulvius),351(a),10ML,For Injection,Intravenous,Vial,Rx,Licensed,28-Aug-67, ,N/A,0,Original,3,1,CBER,,,,,
,Grifols Therapeutics LLC,101130,"Koate, Koate-Dvi",Antihemophilic Factor (Human),351(a),"1,000IU",For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,24-Jan-74, ,N/A,0,Original,1871,1,CBER,,,,,
,Grifols Therapeutics LLC,101130,"Koate, Koate-Dvi",Antihemophilic Factor (Human),351(a),250IU,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,24-Jan-74, ,N/A,0,Original,1871,2,CBER,,,,,
,Grifols Therapeutics LLC,101130,"Koate, Koate-Dvi",Antihemophilic Factor (Human),351(a),500IU,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,24-Jan-74, ,N/A,0,Original,1871,3,CBER,,,,,
,Grifols Therapeutics LLC,101134,"Baygam, Gamastan S/D",Immune Globulin (Human),351(a),0.165,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,11-Jan-44, ,N/A,0,Original,1871,1,CBER,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),2.5G/50ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42, ,N/A,0,Original,1871,1,CBER,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),25G/100ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42, ,N/A,0,Original,1871,2,CBER,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),20G/100ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42, ,N/A,0,Original,1871,3,CBER,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),10G/50ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42, ,N/A,0,Original,1871,4,CBER,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),12.5G/50ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42, ,N/A,0,Original,1871,5,CBER,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),5G/20ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42, ,N/A,0,Original,1871,6,CBER,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),25G/500ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42, ,N/A,0,Original,1871,7,CBER,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),12.5G/250ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42, ,N/A,0,Original,1871,8,CBER,,,,,
,Grifols Therapeutics LLC,101140,Plasmanate,Plasma Protein Fraction (Human),351(a),25G/500ML,Injection,Intravenous,Single-Dose Vial,Disc,Licensed,2-Oct-58, ,N/A,0,Original,1871,1,CBER,,,,,
,Grifols Therapeutics LLC,101140,Plasmanate,Plasma Protein Fraction (Human),351(a),2.5G/50ML,Injection,Intravenous,Single-Dose Vial,Disc,Licensed,2-Oct-58, ,N/A,0,Original,1871,2,CBER,,,,,
,Grifols Therapeutics LLC,101140,Plasmanate,Plasma Protein Fraction (Human),351(a),12.5G/250ML,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,2-Oct-58, ,N/A,0,Original,1871,3,CBER,,,,,
,Grifols Therapeutics LLC,101141,"Bayrho-D, Hyprho-D, Hyperrho S/D Full Dose, Hyperrho S/D Mini-Dose",Rho(D) Immune Globulin (Human),351(a),1500IU,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,11-Jun-71, ,N/A,0,Original,1871,1,CBER,,,,,
,Grifols Therapeutics LLC,101141,"Bayrho-D, Hyprho-D, Hyperrho S/D Full Dose, Hyperrho S/D Mini-Dose",Rho(D) Immune Globulin (Human),351(a),250IU,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,11-Jun-71, ,N/A,0,Original,1871,2,CBER,,,,,
,Grifols Therapeutics LLC,101142,"Baytet, Hypertet",Tetanus Immune Globulin (Human),351(a),250U,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,17-Oct-57, ,N/A,0,Original,1871,1,CBER,,,,,
,Grifols Therapeutics LLC,101144,"Bayrab, Hyperrab",Rabies Immune Globulin (Human),351(a),300IU/ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,12-Jun-74, ,N/A,0,Original,1871,1,CBER,,,,,
,Grifols Therapeutics LLC,101144,"Bayrab, Hyperrab",Rabies Immune Globulin (Human),351(a),1500IU/5 ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,12-Jun-74, ,N/A,0,Original,1871,2,CBER,,,,,
,Grifols Therapeutics LLC,101144,"Bayrab,Hyperrab",Rabies Immune Globulin (Human),351(a),900 IU/ 3ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,6-Nov-19, ,N/A,5817,Supplement,1871,3,CBER,,,,,
,Grifols Therapeutics LLC,101146,"Bayhep B, Hyperhep B S/D",Hepatitis B Immune Globulin (Human),351(a),220U/ML,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,23-Sep-77, ,N/A,0,Original,1871,1,CBER,,,,,
,Grifols Therapeutics LLC,101146,"Bayhep B, Hyperhep B S/D",Hepatitis B Immune Globulin (Human),351(a),220U/ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,23-Sep-77, ,N/A,0,Original,1871,2,CBER,,,,,
,Grifols Therapeutics LLC,101146,"Bayhep B, Hyperhep B S/D",Hepatitis B Immune Globulin (Human),351(a),220U/.5ML,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,23-Sep-77, ,N/A,0,Original,1871,3,CBER,,,,,
,Grifols Therapeutics LLC,101146,"Bayhep B, Hyperhep B S/D",Hepatitis B Immune Globulin (Human),351(a),220U/.5ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,23-Sep-77, ,N/A,0,Original,1871,4,CBER,,,,,
,Grifols Therapeutics LLC,101146,"Bayhep B, Hyperhep B S/D",Hepatitis B Immune Globulin (Human),351(a),220IU/5ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,23-Sep-77, ,N/A,0,Original,1871,5,CBER,,,,,
,Grifols Therapeutics LLC,101147,Gamimune,Immune Globulin Intravenous (Human),351(a),5PCT,Injection,Intravenous,Vial,Disc,Voluntarily Revoked,11-Sep-81, , ,0,Original,1871,1,CBER,,,,,
,Grifols Therapeutics LLC,101147,Gamimune,Immune Globulin Intravenous (Human),351(a),10PCT,Injection,Intravenous,Vial,Disc,Voluntarily Revoked,11-Sep-81, , ,0,Original,1871,2,CBER,,,,,
,"Recordati Rare Diseases, Inc.",101246,Panhematin,Hemin for Injection,351(a),350MG,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,20-Jul-83, ,N/A,5350,Supplement,1899,1,CBER,,,,,20-Jul-90
,MassBiologics,101322,Tdvax,Tetanus and Diphtheria Toxoids Adsorbed,351(a),0.5ML,Injection,Intramuscular,Single-Dose Vial,Disc,Licensed,27-Jul-70, ,N/A,0,Original,1779,1,CBER,,,,,
,"Allergy Laboratories, Inc.",101377,,"Insects (Whole Body), Mite Dermatophagoides farinae",351(a),"10,000AU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,11-Jul-30, ,N/A,0,Original,103,1,CBER,,,,,
,"Allergy Laboratories, Inc.",101377,,"Insects (Whole Body), Mite Dermatophagoides farinae",351(a),"10,000AU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,11-Jul-30, ,N/A,0,Original,103,2,CBER,,,,,
,"Allergy Laboratories, Inc.",101378,,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",351(a),"10,000AU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,11-Jul-30, ,N/A,0,Original,103,1,CBER,,,,,
,"Allergy Laboratories, Inc.",101378,,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",351(a),"10,000AU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,11-Jul-30, ,N/A,0,Original,103,2,CBER,,,,,
,"Allergy Laboratories, Inc.",101379,,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",351(a),"10,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,1,CBER,,,,,
,"Allergy Laboratories, Inc.",101379,,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,2,CBER,,,,,
,"Allergy Laboratories, Inc.",101380,,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),"10,000BAU/ML ",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,1,CBER,,,,,
,"Allergy Laboratories, Inc.",101380,,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),"10,000BAU/ML ",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,2,CBER,,,,,
,"Allergy Laboratories, Inc.",101380,,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),"100,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,3,CBER,,,,,
,"Allergy Laboratories, Inc.",101380,,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,4,CBER,,,,,
,"Allergy Laboratories, Inc.",101381,,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),"10,000BAU/ML ",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,1,CBER,,,,,
,"Allergy Laboratories, Inc.",101381,,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),"10,000BAU/ML ",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,2,CBER,,,,,
,"Allergy Laboratories, Inc.",101381,,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),"100,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,3,CBER,,,,,
,"Allergy Laboratories, Inc.",101381,,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,4,CBER,,,,,
,"Allergy Laboratories, Inc.",101382,,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),"10,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,1,CBER,,,,,
,"Allergy Laboratories, Inc.",101382,,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,2,CBER,,,,,
,"Allergy Laboratories, Inc.",101382,,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),"100,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,3,CBER,,,,,
,"Allergy Laboratories, Inc.",101382,,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,29-May-97, ,N/A,0,Original,103,4,CBER,,,,,
,"Allergy Laboratories, Inc.",101383,,"Pollens - Grasses, Redtop Agrostis alba",351(a),"10,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,1,CBER,,,,,
,"Allergy Laboratories, Inc.",101383,,"Pollens - Grasses, Redtop Agrostis alba",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,2,CBER,,,,,
,"Allergy Laboratories, Inc.",101383,,"Pollens - Grasses, Redtop Agrostis alba",351(a),"100,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,3,CBER,,,,,
,"Allergy Laboratories, Inc.",101383,,"Pollens - Grasses, Redtop Agrostis alba",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,4,CBER,,,,,
,"Allergy Laboratories, Inc.",101384,,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",351(a),"10,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,1,CBER,,,,,
,"Allergy Laboratories, Inc.",101384,,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,2,CBER,,,,,
,"Allergy Laboratories, Inc.",101384,,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",351(a),"100,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,3,CBER,,,,,
,"Allergy Laboratories, Inc.",101384,,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,25-Jun-97, ,N/A,0,Original,103,4,CBER,,,,,
,"Allergy Laboratories, Inc.",101385,,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",351(a),"10,000BAU/ML ",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,1,CBER,,,,,
,"Allergy Laboratories, Inc.",101385,,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",351(a),"10,000BAU/ML ",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,2,CBER,,,,,
,"Allergy Laboratories, Inc.",101385,,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",351(a),"100,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,3,CBER,,,,,
,"Allergy Laboratories, Inc.",101385,,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,4,CBER,,,,,
,"Allergy Laboratories, Inc.",101386,,"Pollens - Grasses, Timothy Phleum pratense",351(a),"10,000BAU/ML ",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,1,CBER,,,,,
,"Allergy Laboratories, Inc.",101386,,"Pollens - Grasses, Timothy Phleum pratense",351(a),"10,000BAU/ML ",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,2,CBER,,,,,
,"Allergy Laboratories, Inc.",101386,,"Pollens - Grasses, Timothy Phleum pratense",351(a),"100,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,3,CBER,,,,,
,"Allergy Laboratories, Inc.",101386,,"Pollens - Grasses, Timothy Phleum pratense",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,4,CBER,,,,,
,"Allergy Laboratories, Inc.",101387,,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",351(a),1:10W/V,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,1,CBER,,,,,
,"Allergy Laboratories, Inc.",101387,,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",351(a),1:10W/V,Injection,Intradermal,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,2,CBER,,,,,
,"Allergy Laboratories, Inc.",101387,,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",351(a),1:10W/V,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30, ,N/A,0,Original,103,3,CBER,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",101447,"Autoplex, Feiba Nf, Feiba Vh",Anti-Inhibitor Coagulant Complex,351(a),1000IU ,For Injection,Intravenous,Bottle,Disc,Licensed,21-Dec-79, ,N/A,0,Original,1898,1,CBER,,,,,16-Dec-20
,"Takeda Pharmaceuticals U.S.A., Inc.",101447,"Autoplex, Feiba Nf, Feiba Vh",Anti-Inhibitor Coagulant Complex,351(a),500IU ,For Injection,Intravenous,Bottle,Disc,Licensed,21-Dec-79, ,N/A,0,Original,1898,2,CBER,,,,,16-Dec-20
,"Takeda Pharmaceuticals U.S.A., Inc.",101447,"Autoplex, Feiba Nf, Feiba Vh",Anti-Inhibitor Coagulant Complex,351(a),1000U,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,31-Jul-00, ,N/A,1029,Supplement,1898,3,CBER,,,,,16-Dec-20
,"Takeda Pharmaceuticals U.S.A., Inc.",101447,"Autoplex, Feiba Nf, Feiba Vh",Anti-Inhibitor Coagulant Complex,351(a),500U,For Injection,Intravenous,Bottle,Rx,Licensed,31-Jul-00, ,N/A,1029,Supplement,1898,4,CBER,,,,,16-Dec-20
,"Takeda Pharmaceuticals U.S.A., Inc.",101447,"Autoplex, Feiba Nf, Feiba Vh",Anti-Inhibitor Coagulant Complex,351(a),2500U,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,11-Aug-05, ,N/A,5126,Supplement,1898,5,CBER,,,,,16-Dec-20
,"Takeda Pharmaceuticals U.S.A., Inc.",101448,Hemofil M,Antihemophilic Factor (Human),351(a),250IU,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,14-Mar-01, ,N/A,1062,Supplement,1898,1,CBER,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",101448,Hemofil M,Antihemophilic Factor (Human),351(a),1000IU,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,14-Mar-01, ,N/A,1062,Supplement,1898,2,CBER,,,,,
