Purple Book Monthly Historical Data Changes Report - November 2025,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Newly Approved Products (N)  / Products Added in Current Release (R) / Updated Products (U),,,,,,,,,,,,,,,,,,,,,,,,
U,Biocon Biologics Inc.,761436,Aukelso,denosumab-kyqq,351(k) Interchangeable,120MG/1.7ML (70MG/ML),Injection ,Subcutaneous,Single-Dose Vial,Rx,Licensed,16-Sep-25,denosumab,Xgeva,,Original,2324,2,CDER,,,,,
U,Hikma Pharmaceuticals USA Inc.,761439,Enoby,denosumab-qbde,351(k) Interchangeable,60MG/ML,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,26-Sep-25,denosumab,Prolia,,Original,2356,1,CDER,,,,,
U,Hikma Pharmaceuticals USA Inc.,761439,Xtrenbo,denosumab-qbde,351(k) Interchangeable,120MG/1.7ML (70MG/ML),Injection ,Subcutaneous,Single-Dose Vial,Rx,Licensed,26-Sep-25,denosumab,Xgeva,,Original,2356,2,CDER,,,,,
N,GlaxoSmithKline LLC,761440,Blenrep,belantamab mafodotin-blmf,351(a),70MG,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,23-Oct-25,N/A,N/A,,Original,1727,1,CDER,,,,,
U,"Shanghai Henlius Biotech, Inc.",761444,Bildyos,denosumab-nxxp,351(k) Interchangeable,60MG/ML,Injection ,Subcutaneous,Single-Dose Vial,Rx,Licensed,29-Aug-25,denosumab,Prolia,,Original,2354,1,CDER,,,,,
U,"Shanghai Henlius Biotech, Inc.",761444,Bildyos,denosumab-nxxp,351(k) Interchangeable,60MG/ML,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,29-Aug-25,denosumab,Prolia,,Original,2354,2,CDER,,,,,
U,"Shanghai Henlius Biotech, Inc.",761444,Bilprevda,denosumab-nxxp,351(k) Interchangeable,120MG/1.7ML (70MG/ML),Injection ,Subcutaneous,Single-Dose Vial,Rx,Licensed,29-Aug-25,denosumab,Xgeva,,Original,2354,3,CDER,,,,,
N,"Shanghai Henlius Biotech, Inc.",761450,Poherdy,pertuzumab-dpzb,351(k) Interchangeable,420MG/14ML (30MG/ML),Injection ,Intravenous,Single-Dose Vial,Rx,Licensed,13-Nov-25,pertuzumab,Perjeta,,Original,2354,1,CDER,,,Date TBD,,
,,,,,,,,,,,,,,,,,,,,,,,,
N/R/U,Applicant,BLA Number,Proprietary Name,Proper Name,BLA Type,Strength,Dosage Form,Route of Administration,Product Presentation,Marketing Status,Licensure,Approval Date,Ref. Product Proper Name,Ref. Product Proprietary Name,Supplement Number,Submission Type,License Number,Product Number,Center,Date of First Licensure,Exclusivity Expiration Date,First Interchangeable Exclusivity Exp. Date,Ref. Product Exclusivity Exp. Date,Orphan Exclusivity Exp. Date
,Ferring Pharmaceuticals Inc.,17016,Novarel,chorionic gonadotropin,351(a),"20,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,15-Jan-74,N/A,N/A,,Original,2112,4,CDER,,,,,
,Ferring Pharmaceuticals Inc.,17016,Novarel,chorionic gonadotropin,351(a),"5,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Rx,Licensed,15-Jan-74,N/A,N/A,,Original,2112,6,CDER,,,,,
,Ferring Pharmaceuticals Inc.,17016,Novarel,chorionic gonadotropin,351(a),"10,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,15-Jan-74,N/A,N/A,,Original,2112,7,CDER,,,,,
,Ferring Pharmaceuticals Inc.,17016,Novarel,chorionic gonadotropin,351(a),"2,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,27-Dec-84,N/A,N/A,132,Supplement,2112,9,CDER,,,,,
,Ferring Pharmaceuticals Inc.,17016,Novarel,chorionic gonadotropin,351(a),"15,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,15-Feb-85,N/A,N/A,131,Supplement,2112,10,CDER,,,,,
,Ferring Pharmaceuticals Inc.,17016,Novarel,chorionic gonadotropin,351(a),"2,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,16-Feb-90,N/A,N/A,136,Supplement,2112,11,CDER,,,,,
,"Bel-Mar Laboratories, Inc.",17054,Chorionic Gonadotropin,chorionic gonadotropin,351(a),"5,000UNITS",Injection ,Intramuscular,Single-Dose Vial,Disc,Licensed,26-Mar-74,N/A,N/A,,Original,2182,1,CDER,,,,,
,"Bel-Mar Laboratories, Inc.",17054,Chorionic Gonadotropin,chorionic gonadotropin,351(a),"10,000UNITS",Injection ,Intramuscular,Single-Dose Vial,Disc,Licensed,26-Mar-74,N/A,N/A,,Original,2182,2,CDER,,,,,
,Ferring Pharmaceuticals Inc.,17055,A.P.L.,chorionic gonadotropin,351(a),"5,000UNITS",For Injection,Intramuscular,Single-Dose Vial,Disc,Licensed,13-Dec-74,N/A,N/A,,Original,2112,1,CDER,,,,,
,Ferring Pharmaceuticals Inc.,17055,A.P.L.,chorionic gonadotropin,351(a),"10,000UNITS",For Injection,Intramuscular,Single-Dose Vial,Disc,Licensed,13-Dec-74,N/A,N/A,,Original,2112,2,CDER,,,,,
,Ferring Pharmaceuticals Inc.,17055,A.P.L.,chorionic gonadotropin,351(a),"20,000UNITS",For Injection,Intramuscular,Single-Dose Vial,Disc,Licensed,13-Dec-74,N/A,N/A,,Original,2112,3,CDER,,,,,
,"Fresenius Kabi USA, LLC",17067,Chorionic Gonadotropin,chorionic gonadotropin,351(a),"5,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,5-Mar-73,N/A,N/A,,Original,2146,1,CDER,,,,,
,"Fresenius Kabi USA, LLC",17067,Chorionic Gonadotropin,chorionic gonadotropin,351(a),"10,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Rx,Licensed,5-Mar-73,N/A,N/A,,Original,2146,2,CDER,,,,,
,"Fresenius Kabi USA, LLC",17067,Chorionic Gonadotropin,chorionic gonadotropin,351(a),"15,0000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,5-Mar-73,N/A,N/A,,Original,2146,3,CDER,,,,,
,"Fresenius Kabi USA, LLC",17067,Chorionic Gonadotropin,chorionic gonadotropin,351(a),"20,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,5-Mar-73,N/A,N/A,,Original,2146,4,CDER,,,,,
,"EMD Serono, Inc.",17646,Pergonal,menotropins,351(a),75IU,For Injection,"Subcutaneous, Intramuscular",Single-Dose Vial,Disc,Licensed,22-Aug-75,N/A,N/A,,Original,1773,1,CDER,,,,,
,"EMD Serono, Inc.",17646,Pergonal,menotropins,351(a),150IU,For Injection,"Subcutaneous, Intramuscular",Single-Dose Vial,Disc,Licensed,20-May-85,N/A,N/A,22,Supplement,1773,2,CDER,,,,,
,"Organon USA LLC, a subsidiary of Organon & Co.",17692,Pregnyl,chorionic gonadotropin,351(a),"10,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Rx,Licensed,20-Oct-76,N/A,N/A,,Original,2331,1,CDER,,,,,
,Jubilant DraxImage Inc.,17776,Pulmolite,kit for the preparation of technetium Tc-99m albumin aggregated,351(a),1MG/10MG/0.24MG/ 0.7MG/0.13MG/10MG,For Injectable Suspension,Intravenous,Vial,Disc,Licensed,16-Nov-76,N/A,N/A,,Original,2186,1,CDER,,,,,
,Bracco Diagnostics Inc.,17833,Macrotec,kit for the preparation of technetium Tc-99m albumin aggregated,351(a),1.5MG/10MG/0.07MG/0.19MG/1.8MG,For Injectable Suspension,Intravenous,Vial,Disc,Licensed,23-Feb-76,N/A,N/A,,Original,2183,1,CDER,,,,,
,"Iso-Tex Diagnostics, Inc. ",17835,Chromalbin,albumin chromated CR-51 serum,351(a),100uCi,Injection ,Intravenous,Single-Dose Vial,Disc,Voluntarily Revoked,23-Feb-76,N/A,N/A,,Original,2189,1,CDER,,,,,
,"Iso-Tex Diagnostics, Inc. ",17835,Chromalbin,albumin chromated CR-51 serum,351(a),250uCi,Injection ,Intravenous,Single-Dose Vial,Disc,Voluntarily Revoked,23-Feb-76,N/A,N/A,,Original,2189,2,CDER,,,,,
,"Iso-Tex Diagnostics, Inc. ",17835,Chromalbin,albumin chromated CR-51 serum,351(a),500uCi,Injection ,Intravenous,Single-Dose Vial,Disc,Voluntarily Revoked,23-Feb-76,N/A,N/A,,Original,2189,3,CDER,,,,,
,"Iso-Tex Diagnostics, Inc. ",17836,Jeanatope,iodinated I-125 albumin,351(a),"500uCi/0.5ML (1,000uCi/ML)",Injection ,Intravenous,Multi-Dose Vial,Disc,Voluntarily Revoked,23-Feb-76,N/A,N/A,,Original,2189,1,CDER,,,,,
,"Iso-Tex Diagnostics, Inc. ",17836,Jeanatope,iodinated I-125 albumin,351(a),"1,000uCi/ML (1,000uCi/ML)",Injection ,Intravenous,Multi-Dose Vial,Disc,Voluntarily Revoked,23-Feb-76,N/A,N/A,,Original,2189,2,CDER,,,,,
,"Iso-Tex Diagnostics, Inc. ",17836,Jeanatope,iodinated I-125 albumin,351(a),100uCi/10ML (10uCi/ML),Injection ,Intravenous,Multi-Dose Vial,Disc,Voluntarily Revoked,8-Jun-04,N/A,N/A,8,Supplement,2189,3,CDER,,,,,
,"Iso-Tex Diagnostics, Inc. ",17837,Megatope,iodinated I-131 albumin,351(a),0.5mCi,Injection ,Intravenous,Multi-Dose Vial,Disc,Licensed,23-Feb-76,N/A,N/A,,Original,2189,1,CDER,,,,,
,"Iso-Tex Diagnostics, Inc. ",17837,Megatope,iodinated I-131 albumin,351(a),1mCi,Injection ,Intravenous,Multi-Dose Vial,Rx,Licensed,23-Feb-76,N/A,N/A,,Original,2189,2,CDER,,,,,
,"Iso-Tex Diagnostics, Inc. ",17837,Megatope,iodinated I-131 albumin,351(a),2mCi,Injection ,Intravenous,Multi-Dose Vial,Disc,Licensed,23-Feb-76,N/A,N/A,,Original,2189,3,CDER,,,,,
,"Iso-Tex Diagnostics, Inc. ",17837,Megatope,iodinated I-131 albumin,351(a),5uCi/AMP,Injection ,Intravenous,Multi-Dose Vial,Disc,Licensed,23-Feb-76,N/A,N/A,,Original,2189,4,CDER,,,,,
,"Iso-Tex Diagnostics, Inc. ",17837,Megatope,iodinated I-131 albumin,351(a),20uCi/AMP,Injection ,Intravenous,Multi-Dose Vial,Disc,Licensed,23-Feb-76,N/A,N/A,,Original,2189,5,CDER,,,,,
,Jubilant DraxImage Inc.,17881,Draximage MAA,kit for the preparation of technetium Tc-99m albumin aggregated,351(a),2.5MG/5MG/0.6MG/ 1.2MG,For Injectable Suspension,Intravenous,Multi-Dose Vial,Rx,Licensed,30-Dec-87,N/A,N/A,,Original,2186,1,CDER,,,,,
,Pharmalucence Inc,18263,Microlite,radiolabeled albumin technetium Tc-99m albumin colloid kit,351(a),,,,Single-Dose Vial,Disc,Voluntarily Revoked,25-Mar-83,N/A,N/A,,Original,2203,1,CDER,,,,,
