. z..6.benzylidene.3.hydroxymethyl.1.4.dimethyl.3.methylsulfanylpiperazine.2.5.dione
....pestalachloride f
....pestaloxazine a
....phytocassane a
....phytocassane b
....phytocassane c
....phytocassane d
....phytocassane e
....pimaric acid
....pinoresinol 4.o..beta.d.glucopyranosyl..1..gt.2...beta.d.glucopyranosyl..1..gt.6...beta.d.glucopyranoside.
....pinoresinol 4.o.glucoside
....pisiferic acid
....pratensilin a
....pratensilin b
....pratensilin c
....preuisolactone a
....quinic acid
....rubriflordilactone a
....rugulosin a
....sceletium a4
....schisandrin b
....sesamin dicatechol
....sesamin monocatechol
....somaliensene b
....spirocochlealactone a
....spirocochlealactone b
....spirocochlealactone c
....subersic acid
....syringaresinol beta.d.glucoside
....taxifolin 3.o.acetate
....taxifolin 3.o.alpha.d.arabinopyranoside
....taxifolin 3.o.alpha.l.arabinofuranoside
....taxifolin 3.o.alpha.l.arabinopyranoside
....taxifolin 3.o.beta.d.arabinopyranoside
....taxifolin 3.o.beta.d.xylopyranoside
....tephrorin a
....tephrorin b
....tersone a
....tersone b
....tersone c
....tersone d
....tersone e
....threo.2.amino.3.4.dihydroxybutanoic acid
....trans.carveol glucoside
....trans.chrysanthemic acid
....trichodermadione a
....trichothecrotocin h
....trichothecrotocin i
....trieffusol d
....ureidoglycolic acid
....usnic acid
....variecolorin g
....variecolorquinone a
....variecolortin a
....variecolortin b
....vernolic acid
....versicalin a
....versiorcinol a
....versiorcinol b
....versiorcinol c
....viridicatumtoxin b
....vulgraon b
....xylaridine c
....xylaridine d
....zwittermicin a
...1.o.demethylvariecolorquinone a
...naseseazine a
.....chartaceone a
.....chartaceone b
.....chartaceone c
.....chartaceone d
.....chartaceone e
.....chartaceone f
.....ethyl 3.hydroxy.2.methylbutyrate
....n..2.fluro.ethyl..2.16.dimethyl.5z.8z.11z.14z.docosatetraenoyl amine
.......2e.4e..gamma.ionylideneacetic acid
.......e..3.methyl.4.decen.1.yl acetate
......3..4.hydroxyphenyl..1.2.propanediol 4.apos..o.glucoside
......7.8.epoxy.brevianamide q
......7.hyrdoxypyrenocine m
......8.epihydroxy.brevianamide r
......8.hydroxy.brevianamide r
